Genus,Species,IUV,mutual
Mylothris,Mylothris_rhodope,0,0
Mylothris,Mylothris_similis,0,0
Mylothris,Mylothris_erlangeri,0,0
Mylothris,Mylothris_poppea,0,0
Mylothris,Mylothris_ochracea,0,0
Mylothris,Mylothris_sulphurea,0,0
Mylothris,Mylothris_ngaziya,0,0
Mylothris,Mylothris_phileris,0,0
Mylothris,Mylothris_agathina,0,0
Mylothris,Mylothris_chloris,0,0
Aporia,Aporia_agathon,0,0
Aporia,Aporia_delavayi,0,0
Aporia,Aporia_goutellei,0,0
Aporia,Aporia_oberthuri,0,0
Aporia,Aporia_largeteaui,0,0
Aporia,Aporia_martineti,0,0
Aporia,Aporia_procris,0,0
Aporia,Aporia_genestieri,0,0
Aporia,Aporia_leucodice,0,0
Aporia,Aporia_crataegi,0,0
Aporia,Aporia_potanini,0,0
Mesapia,Mesapia_peloria,0,0
Aporia,Aporia_hippia,0,0
Aporia,Aporia_bieti,0,0
Melete,Melete_salacia,0,0
Melete,Melete_lycimnia,0,0
Leodonta,Leodonta_tellane,0,0
Pereute,Pereute_charops,0,0
Neophasia,Neophasia_menapia,0,0
Catasticta,Catasticta_cerberus,0,0
Catasticta,Catasticta_corcyra,0,0
Catasticta,Catasticta_apaturina,0,0
Catasticta,Catasticta_teutila,0,0
Catasticta,Catasticta_tomyris,0,0
Catasticta,Catasticta_striata,0,0
Catasticta,Catasticta_vulnerata,0,0
Catasticta,Catasticta_cinerea,0,0
Catasticta,Catasticta_tricolor,0,0
Catasticta,Catasticta_albofasciata,0,0
Catasticta,Catasticta_eurigania,0,0
Archonias,Archonias_brassolis,0,0
Catasticta,Catasticta_flisa,0,0
Catasticta,Catasticta_prioneris,0,0
Catasticta,Catasticta_hegemon,0,0
Catasticta,Catasticta_sisamnus,0,0
Catasticta,Catasticta_reducta,0,0
Catasticta,Catasticta_teutamis,0,0
Catasticta,Catasticta_ctemene,0,0
Catasticta,Catasticta_seitzi,0,0
Catasticta,Catasticta_incerta,0,0
Catasticta,Catasticta_scurra,0,0
Catasticta,Catasticta_susiana,0,0
Catasticta,Catasticta_chelidonis,0,0
Catasticta,Catasticta_tamsa,0,0
Catasticta,Catasticta_leucophaea,0,0
Catasticta,Catasticta_philone,0,0
Catasticta,Catasticta_ferra,0,0
Catasticta,Catasticta_nimbata,0,0
Catasticta,Catasticta_anaitis,0,0
Delias,Delias_themis,0,0
Delias,Delias_enniana,0,0
Delias,Delias_kuehni,0,0
Delias,Delias_singhapura,0,0
Delias,Delias_vidua,0,0
Delias,Delias_nysa,0,0
Delias,Delias_shirozui,0,0
Delias,Delias_lemoulti,0,0
Delias,Delias_momea,0,0
Delias,Delias_cinerascens,0,0
Delias,Delias_schoenigi,0,0
Delias,Delias_georgina,0,0
Delias,Delias_woodi,0,0
Delias,Delias_crithoe,0,0
Delias,Delias_acalis,0,0
Delias,Delias_chrysomelaena,0,0
Delias,Delias_apatela,0,0
Delias,Delias_echidna,0,0
Delias,Delias_ennia,0,0
Delias,Delias_lytaea,0,0
Delias,Delias_gabia,0,0
Delias,Delias_rothschildi,0,0
Delias,Delias_biaka,0,0
Delias,Delias_agostina,0,0
Delias,Delias_baracasa,0,0
Delias,Delias_subviridis,0,0
Delias,Delias_dorylaea,0,0
Delias,Delias_mavroneria,0,0
Delias,Delias_totila,0,0
Delias,Delias_ladas,0,0
Delias,Delias_toxopei,0,0
Delias,Delias_catisa,0,0
Delias,Delias_hallstromi,0,0
Delias,Delias_gilliardi,0,0
Delias,Delias_carstensziana,0,0
Delias,Delias_eichhorni,0,0
Delias,Delias_frater,0,0
Delias,Delias_sagessa,0,0
Delias,Delias_stresemanni,0,0
Delias,Delias_microsticha,0,0
Delias,Delias_geraldina,0,0
Delias,Delias_kenricki,0,0
Delias,Delias_aroae,0,0
Delias,Delias_hypomelas,0,0
Delias,Delias_heroni,0,0
Delias,Delias_cuningputi,0,0
Delias,Delias_aganippe,0,0
Delias,Delias_subnubila,0,0
Delias,Delias_belladonna,0,0
Delias,Delias_eileenae,0,0
Delias,Delias_sambawana,0,0
Delias,Delias_eucharis,0,0
Delias,Delias_rosenbergi,0,0
Delias,Delias_salvini,0,0
Delias,Delias_schoenbergi,0,0
Delias,Delias_edela,0,0
Delias,Delias_poecilea,0,0
Delias,Delias_ceneus,0,0
Delias,Delias_mysis,0,0
Delias,Delias_doylei,0,0
Delias,Delias_argenthona,0,0
Delias,Delias_periboea,0,0
Delias,Delias_fasciata,0,0
Delias,Delias_timorensis,0,0
Delias,Delias_berinda,0,0
Delias,Delias_splendida,0,0
Delias,Delias_diaphana,0,0
Delias,Delias_ellipsis,0,0
Delias,Delias_zebuda,0,0
Delias,Delias_aruna,0,0
Delias,Delias_eumolpe,0,0
Delias,Delias_belisama,0,0
Delias,Delias_descombesi,0,0
Delias,Delias_aurantia,0,0
Delias,Delias_oraia,0,0
Delias,Delias_phippsi,0,0
Delias,Delias_weiskei,0,0
Delias,Delias_leucias,0,0
Delias,Delias_ligata,0,0
Delias,Delias_kummeri,0,0
Delias,Delias_isocharis,0,0
Delias,Delias_dixeyi,0,0
Delias,Delias_harpalyce,0,0
Delias,Delias_ornytion,0,0
Delias,Delias_dohertyi,0,0
Delias,Delias_nigrina,0,0
Delias,Delias_bakeri,0,0
Delias,Delias_iltis,0,0
Delias,Delias_hapalina,0,0
Delias,Delias_luctuosa,0,0
Delias,Delias_callista,0,0
Delias,Delias_meeki,0,0
Delias,Delias_niepelti,0,0
Delias,Delias_anamesa,0,0
Delias,Delias_clathrata,0,0
Delias,Delias_albertisi,0,0
Delias,Delias_discus,0,0
Delias,Delias_elongatus,0,0
Delias,Delias_roepkei,0,0
Delias,Delias_nais,0,0
Delias,Delias_caroli,0,0
